BJD-2454833.0,raw,ost_decorr,ost_tfa,err
2070.13247065,12.91449,12.9122,12.912065,0.00094
2070.15290256,12.91239,12.91097,12.912033,0.00087
2070.17333456,12.91148,12.91077,12.911848,0.00085
2070.19376667,12.91114,12.9109,12.9119,0.00085
2070.21419857,12.91053,12.90845,12.911441,0.0009
2070.23463058,12.91071,12.9116,12.912007,0.00088
2070.25506268,12.91134,12.91243,12.911914,0.00092
2070.27549459,12.91014,12.91143,12.911608,0.00092
2070.29592659,12.90879,12.91069,12.911384,0.00085
2070.31635869,12.90925,12.91125,12.912014,0.00084
2070.3367906,12.90986,12.91229,12.912476,0.00085
2070.3572226,12.90998,12.91251,12.912396,0.00083
2070.3776547,12.91002,12.91248,12.912946,0.00081
2070.3980867,12.91106,12.91349,12.91268,0.00081
2070.41851861,12.90984,12.91223,12.912345,0.0007
2070.43895071,12.91063,12.91298,12.913294,0.00066
2070.45938271,12.91045,12.91281,12.913508,0.00063
2070.47981461,12.91086,12.91327,12.913234,0.00059
2070.50024671,12.90916,12.91169,12.912783,0.00052
2070.52067871,12.91442,12.91174,12.912682,0.00086
2070.54111081,12.91505,12.9123,12.912687,0.00097
2070.56154271,12.91486,12.91264,12.912905,0.00098
2070.5819746,12.91435,12.91299,12.912601,0.00094
2070.6024067,12.91349,12.91298,12.91273,0.0009
2070.6228387,12.91333,12.91353,12.912957,0.0009
2070.6432706,12.9118,12.91325,12.912873,0.00091
2070.66370269,12.91206,12.91355,12.912947,0.00093
2070.68413469,12.9117,12.91353,12.912916,0.00091
2070.70456659,12.91065,12.91288,12.913081,0.00087
2070.72499868,12.91066,12.91332,12.913254,0.00085
2070.74543068,12.91062,12.91342,12.913138,0.00084
2070.76586267,12.91053,12.91332,12.913076,0.00083
2070.78629467,12.90965,12.91237,12.912296,0.0008
2070.80672666,12.90915,12.91183,12.912362,0.0007
2070.82715866,12.90894,12.9116,12.912307,0.00066
2070.84759065,12.90902,12.91169,12.91204,0.00067
2070.86802264,12.91002,12.91267,12.912209,0.00064
2070.88845464,12.91,12.91273,12.912629,0.00059
2070.90888673,12.90957,12.9124,12.912198,0.00056
2070.92931862,12.91061,12.91348,12.912929,0.00052
2070.94975071,12.90882,12.91185,12.91262,0.00041
2070.9701827,12.91015,12.91325,12.912607,0.00043
2070.99061459,12.9085,12.91207,12.91288,0.00041
2071.01104668,12.91122,12.91316,12.912468,0.00085
2071.03147867,12.91098,12.9128,12.912522,0.00093
2071.05191056,12.91015,12.91251,12.912411,0.00087
2071.07234265,12.90888,12.91193,12.912693,0.00077
2071.09277464,12.90889,12.9119,12.91217,0.00079
2071.11320653,12.9091,12.91209,12.912256,0.00071
2071.13363862,12.90902,12.91201,12.912366,0.00071
2071.15407061,12.91003,12.91299,12.912732,0.0007
2071.17450249,12.90913,12.91208,12.912342,0.00066
2071.19493458,12.9102,12.91312,12.912238,0.00065
2071.21536657,12.91021,12.91316,12.912628,0.00061
2071.23579855,12.91042,12.91343,12.913056,0.0006
2071.25623054,12.91627,12.91428,12.913319,0.00084
2071.27666253,12.91856,12.91442,12.91283,0.00108
2071.29709451,12.91839,12.91493,12.913606,0.00104
2071.31752649,12.91619,12.91378,12.91333,0.00097
2071.33795848,12.91523,12.91379,12.913921,0.00094
2071.35839046,12.91375,12.91318,12.913085,0.0009
2071.37882245,12.91338,12.91333,12.913009,0.00088
2071.39925443,12.91198,12.91223,12.912503,0.00086
2071.41968651,12.91102,12.91277,12.912119,0.00089
2071.4401184,12.91038,12.91234,12.912141,0.00087
2071.46055038,12.91,12.91219,12.91186,0.0009
2071.48098246,12.90885,12.91118,12.911182,0.00088
2071.50141434,12.90958,12.91195,12.911731,0.00088
2071.52184632,12.90974,12.91238,12.912541,0.00086
2071.5422784,12.90942,12.9122,12.911957,0.00085
2071.56271028,12.90948,12.91254,12.912499,0.00087
2071.58314226,12.90953,12.91304,12.91337,0.00082
2071.60357434,12.90972,12.91324,12.913405,0.0008
2071.62400622,12.91014,12.91361,12.913418,0.00082
2071.6444382,12.90974,12.91321,12.912985,0.0008
2071.66487028,12.90929,12.91278,12.912706,0.00077
2071.68530216,12.90856,12.91203,12.912379,0.00069
2071.70573413,12.90872,12.91221,12.91246,0.00071
2071.72616621,12.90838,12.91188,12.912291,0.00068
2071.74659819,12.90956,12.91307,12.912435,0.00071
2071.76703016,12.90796,12.91121,12.912514,0.00064
2071.78746214,12.90765,12.91116,12.912067,0.00061
2071.80789412,12.9072,12.91074,12.912204,0.00061
